ts,cpu,mem_used_mb,mem_limit_mb
1772410074,102.80%,62.82,1024.00
1772410077,99.96%,141.20,1024.00
1772410079,99.84%,136.40,1024.00
1772410082,99.92%,150.90,1024.00
1772410084,100.72%,151.50,1024.00
1772410087,99.95%,152.10,1024.00
1772410089,101.42%,152.20,1024.00
1772410092,99.86%,152.50,1024.00
1772410095,96.43%,152.60,1024.00
1772410097,100.30%,152.70,1024.00
1772410100,101.06%,152.80,1024.00
1772410102,99.98%,152.90,1024.00
1772410105,100.37%,153.60,1024.00
1772410108,100.14%,153.60,1024.00
1772410110,99.83%,153.40,1024.00
1772410113,100.44%,153.60,1024.00
1772410115,100.96%,153.60,1024.00
1772410118,100.45%,153.70,1024.00
1772410120,100.50%,153.60,1024.00
1772410123,100.34%,153.80,1024.00
1772410126,99.63%,153.60,1024.00
1772410128,100.61%,153.80,1024.00
1772410131,99.76%,153.60,1024.00
1772410133,100.85%,153.60,1024.00
1772410136,100.55%,153.70,1024.00
1772410138,100.40%,153.70,1024.00
1772410141,100.53%,153.70,1024.00
1772410144,100.11%,153.70,1024.00
1772410146,100.23%,153.70,1024.00
1772410149,99.97%,154.00,1024.00
1772410151,100.03%,153.70,1024.00
1772410154,99.93%,154.00,1024.00
1772410156,100.41%,153.80,1024.00
1772410159,100.20%,153.80,1024.00
1772410162,100.45%,153.80,1024.00
1772410164,100.26%,153.80,1024.00
1772410167,100.23%,153.90,1024.00
1772410169,99.66%,154.10,1024.00
1772410172,100.11%,154.10,1024.00
1772410175,100.07%,153.90,1024.00
1772410177,100.37%,153.90,1024.00
1772410180,99.87%,154.00,1024.00
1772410182,100.49%,153.90,1024.00
1772410185,100.21%,153.90,1024.00
1772410187,100.42%,154.00,1024.00
1772410190,100.50%,154.00,1024.00
1772410193,100.58%,154.00,1024.00
1772410195,100.25%,154.00,1024.00
1772410198,100.58%,154.10,1024.00
1772410200,100.06%,154.10,1024.00
1772410203,101.03%,154.10,1024.00
1772410205,100.40%,154.10,1024.00
1772410208,100.78%,154.40,1024.00
1772410211,99.90%,154.40,1024.00
1772410213,100.75%,154.10,1024.00
1772410216,100.24%,154.10,1024.00
1772410218,100.04%,154.20,1024.00
1772410221,100.34%,154.20,1024.00
1772410223,100.41%,154.20,1024.00
1772410226,100.35%,154.50,1024.00
1772410229,100.71%,154.30,1024.00
1772410231,100.66%,154.30,1024.00
1772410234,100.12%,154.30,1024.00
1772410236,100.45%,154.30,1024.00
1772410239,100.38%,154.40,1024.00
1772410242,100.56%,154.40,1024.00
1772410244,100.14%,154.40,1024.00
1772410247,100.65%,154.40,1024.00
1772410249,100.56%,154.70,1024.00
1772410252,100.78%,154.40,1024.00
1772410254,100.16%,154.40,1024.00
1772410257,100.10%,154.40,1024.00
1772410260,100.31%,154.50,1024.00
1772410262,101.01%,154.50,1024.00
1772410265,100.11%,154.50,1024.00
1772410267,100.01%,154.50,1024.00
1772410270,100.82%,154.50,1024.00
1772410272,100.36%,154.60,1024.00
1772410275,100.46%,154.60,1024.00
1772410278,100.27%,154.60,1024.00
1772410280,100.95%,154.60,1024.00
1772410283,100.64%,154.60,1024.00
1772410285,100.68%,154.70,1024.00
1772410288,100.58%,154.70,1024.00
1772410290,100.12%,154.70,1024.00
1772410293,100.75%,154.70,1024.00
1772410296,100.60%,154.70,1024.00
1772410298,100.82%,154.70,1024.00
1772410301,100.38%,154.80,1024.00
1772410303,100.09%,154.80,1024.00
1772410306,100.38%,154.80,1024.00
1772410308,100.08%,154.80,1024.00
1772410311,100.55%,154.80,1024.00
1772410314,100.58%,154.80,1024.00
1772410316,100.40%,154.90,1024.00
1772410319,100.29%,155.20,1024.00
1772410321,100.19%,155.00,1024.00
1772410324,100.43%,154.90,1024.00
1772410327,100.25%,155.00,1024.00
1772410329,100.33%,155.20,1024.00
1772410332,100.00%,155.00,1024.00
1772410334,100.30%,155.00,1024.00
1772410337,99.80%,155.00,1024.00
1772410339,100.51%,155.10,1024.00
1772410342,100.09%,155.10,1024.00
1772410345,100.30%,155.30,1024.00
1772410347,100.77%,155.10,1024.00
1772410350,100.82%,155.10,1024.00
1772410352,100.45%,155.20,1024.00
1772410355,100.81%,155.10,1024.00
1772410357,99.76%,155.40,1024.00
1772410360,100.19%,155.20,1024.00
1772410363,99.85%,155.50,1024.00
1772410365,99.61%,155.20,1024.00
1772410368,100.14%,155.20,1024.00
1772410370,100.09%,155.20,1024.00
1772410373,100.22%,155.30,1024.00
1772410375,100.08%,155.30,1024.00
1772410378,100.20%,155.30,1024.00
